Molecula,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,nm_R1,R1,Rmax,nm_Rmax,Rmin,nm_Rmin,e1,m1,g1,gmax1,gmax,gmaxmax,gmin,gminmin
6Heliceno_1-OH_3-SH_6-SH.log,-0.37,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.53,0.2388,579.099,363.49,-156.1912,275.84,0.0158,0.253,0.379,0.625244074,0.00649,0.023768235,-0.00233,0.002493496
6Heliceno_4-OH_10-F_13-Br_16-NO2.log,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.232,0.0,0.0,0.78,498.37,15.5581,287.6745,366.02,-181.8539,291.17,0.208,0.775,0.144,0.148997645,0.00794,0.027790241,-0.00525,0.009562821
6Heliceno_2-cloro_3-cloro_8-fluor_16-fluor_14-fluor_1-bromo.log,0.232,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,393.81,1.8697,594.6901,359.24,-331.9738,275.61,0.0728,0.293,0.141,0.160717334,0.00785,0.031483537,-0.00567,0.008860507
6Heliceno_1-fluor_3-fluor_9-fluor_14-cloro_15-cloro_16-bromo.log,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.227,0.227,0.232,393.82,1.8708,594.5438,359.24,-331.2468,275.59,0.0729,0.293,0.141,0.160579398,0.00785,0.031484378,-0.00566,0.008860242
6Heliceno_1-bromo_2-cloro_3-cloro_8-fluor_14-fluor_16-fluor.log,0.232,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,393.81,1.8664,594.2075,359.22,-330.7383,275.61,0.0731,0.293,0.139,0.160090089,0.00785,0.031486808,-0.00566,0.008863761
6Heliceno_5-CC_10-CP_11-NO2_15-NO2.log,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.16,0.78,0.0,0.0,0.0,0.78,0.0,911.87,15.7687,48.1029,465.25,-17.9475,401.5,0.22,1.1,0.13,0.198826067,0.0029,0.017533957,-0.00167,0.003949623
6Heliceno_1-NO2_2-NO2_7-CN.log,0.78,0.78,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.47,11.0363,164.2326,378.96,-99.5423,289.19,0.197,0.623,0.114,0.126232446,0.00745,0.021935647,-0.0163,0.032191348
6Heliceno_1-F_7-SH_8-CHO_11-NO2_16-NO2.log,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.42,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78,446.53,3.296,90.1205,427.37,-144.1678,330.21,0.108,0.412,0.113,0.152502775,0.0068,0.023800014,-0.00583,0.008891627
6Heliceno_1-fluor_2-fluor_3-bromo_4-yodo_5-yodo_6-fluor.log,0.06,0.06,0.232,0.18,0.18,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.49,2.3227,90.3781,331.84,-63.1994,307.52,0.0912,0.317,0.112,0.13896427,0.0131,0.028197669,-0.00529,0.006195591
6Heliceno_1-NO2_6-NO2_9-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.62,42.3611,92.9138,404.71,-78.8774,301.69,0.397,1.11,0.108,0.112000088,0.0208,0.031102335,-0.00293,0.005530059
6Heliceno_6-CN_1-NO2_5-COOH_10-COOH.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,450.34,32.1345,291.8831,358.91,-213.761,307.93,0.346,1.0,0.107,0.115956194,0.0159,0.029620175,-0.00345,0.010255671
6Heliceno_1-NO2_10-COOH_5-COOH_6-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,450.33,32.1065,292.0169,358.91,-213.7905,307.93,0.346,1.0,0.107,0.115911499,0.016,0.029727769,-0.00346,0.010256474
6Heliceno_1-OH_13-CHO_14-NO2_15-OMe.log,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.78,-0.27,0.0,885.62,31.3213,469.1699,345.91,-118.4815,333.31,0.345,1.31,0.105,0.151232925,0.0195,0.031697781,-0.00643,0.007375787
6Heliceno_1-NO2_6-NO2_9-CN.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.93,46.8915,103.7543,397.94,-101.2264,304.38,0.429,1.11,0.102,0.103335745,0.0366,0.040840201,-0.00329,0.003887954
6Heliceno_1-NO2_6-NO2_9-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.58,36.5569,148.325,393.05,-201.4038,304.28,0.387,1.05,0.0975,0.10814619,0.00736,0.020062087,-0.00392,0.00552335
6Heliceno_6-CN_1-NO2_5-COOH_9-CHO.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.6,39.6866,86.0533,407.36,-144.8498,283.93,0.406,1.07,0.0962,0.104869239,0.0176,0.028028477,-0.00721,0.009558585
6Heliceno_1-NO2_6-NO2.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.49,33.2803,100.5585,367.62,-57.978,308.75,0.378,1.01,0.0932,0.106535165,0.00907,0.025060259,-0.00322,0.004880357
6Heliceno_1-bromo_2-bromo_3-cloro_8-fluor_14-fluor.log,0.232,0.232,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,396.54,2.565,541.5494,368.02,-332.3707,282.99,0.106,0.382,0.0915,0.144237545,0.0164,0.037175949,-0.00438,0.008349099
6Heliceno_4-COOH_5-CHO_7-COOH_11-CN_13-COOH_16-NO2.log,0.0,0.0,0.0,0.45,0.42,0.0,0.45,0.0,0.0,0.0,0.66,0.0,0.45,0.0,0.0,0.78,442.15,39.9931,302.2046,366.27,-260.3999,292.01,0.42,1.04,0.0908,0.099352796,0.00578,0.025034542,-0.00855,0.009421463
6Heliceno_1-NO2_6-CN_9-CN.log,0.78,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.33,55.7429,233.6537,366.17,-184.9146,344.84,0.504,1.14,0.0876,0.090424555,0.00645,0.02107857,-0.0101,0.010160165
6Heliceno_2-cloro_3-cloro_8-fluor_16-fluor_14-fluor_1-fluor.log,0.06,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,387.48,1.6811,556.5568,351.68,-202.606,249.5,0.0884,0.234,0.086,0.105741383,0.00801,0.02896691,-0.00265,0.002771991
6Heliceno_11-CN_12-COOH_5-COOH_16-NO2.log,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.66,0.45,0.0,0.0,0.0,0.78,441.03,40.0254,176.412,366.27,-172.26,299.87,0.434,1.0,0.0851,0.092226204,0.00341,0.019465142,-0.00286,0.005360033
6Heliceno_14-fluor_3-cloro_2-cloro_16-fluor_8-fluor.log,0.0,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,383.22,2.7099,584.7514,347.4,-269.6161,254.79,0.113,0.262,0.0851,0.093018198,0.00781,0.028928066,-0.00505,0.00688405
6Heliceno_1-fluor_3-fluor_9-fluor_12-yodo_15-cloro.log,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.18,0.0,0.0,0.227,0.0,386.37,1.4096,487.6635,353.22,-48.5038,324.19,0.0815,0.265,0.0848,0.13003496,0.00536,0.024085553,-0.00378,0.018567277
6Heliceno_6-CN_1-NO2_5-COOH_14-CHO.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,443.51,58.2349,164.934,403.42,-144.3175,284.24,0.526,1.11,0.0841,0.084496871,0.0111,0.025414773,-0.00382,0.012104668
6Heliceno_2-cloro_5-yodo_8-fluor_14-fluor_16-fluor.log,0.0,0.227,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,386.36,1.4165,487.0229,353.22,-274.3352,253.74,0.0821,0.266,0.0841,0.129329504,0.00534,0.024075148,-0.00553,0.01202624
6Heliceno_1-NO2_6-NO2_14-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,446.67,62.5077,118.9121,346.41,-123.7534,302.39,0.548,1.17,0.0832,0.085041797,0.0154,0.031512444,-0.00487,0.005821255
6Heliceno_1-NO2_5-COOH_10-CN.log,0.78,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,435.83,62.0615,242.7174,354.06,-149.4625,322.02,0.546,1.14,0.0832,0.083444758,0.0324,0.035638163,-0.00752,0.008520751
